Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bermuda,"Hong Kong, China",Import,  All Products,Import (US$ Thousand),4736.712,,4059.76,,,,,,,,1541.701,1508.384,1291.105,2229.726,1213.91,884.657,1194.059,1156.379,920.028,1204.836,1281.241,1343.993,6244.2352,2922.02853,1526.05617,3354.79605,2299.84184
Bermuda,Hungary,Import,  All Products,Import (US$ Thousand),439.807,,476.236,,,,,,,,70.04,84.473,168.616,324.977,240.807,345.63,192.133,105.375,125.636,80.961,374.268,966.826,1437.50598,1188.18676,1177.71363,732.04693,944.74906
Bermuda,Iceland,Import,  All Products,Import (US$ Thousand),26.42,,68.879,,,,,,,,191.387,35.814,14.364,71.922,192.055,107.735,111.729,199.67,113.457,69.87,254.157,326.064,555.84357,566.59644,435.53074,427.5957,324.60408
Bermuda,India,Import,  All Products,Import (US$ Thousand),295.36,,201.195,,,,,,,,517.702,1259.828,1037.846,1144.452,1163.438,1508.542,1393.062,1804.411,1853.555,2732.597,3241.709,4464.33,4556.35164,4000.68884,4375.48326,3687.09342,7315.64551
Bermuda,Indonesia,Import,  All Products,Import (US$ Thousand),468.815,,648.148,,,,,,,,310.07,635.45,795.014,811.768,1095.599,1291.569,1124.733,702.761,1217.008,1580.844,1654.133,1400.516,1623.88252,1253.45764,1137.84732,1422.03257,1326.35874
Bermuda,"Iran, Islamic Rep.",Import,  All Products,Import (US$ Thousand),10.885,,35.275,,,,,,,,56.192,7.754,0.756,65.918,173.559,26.801,3.879,13.476,14.709,12.04,91.413,0.379,10.88528,0.27754,4.11123,4.80408,2.64683
Bermuda,Iraq,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,3.382,,,,,,
Bermuda,Ireland,Import,  All Products,Import (US$ Thousand),2711.977,,2508.609,,,,,,,,391.171,378.485,1095.931,673.173,417.022,481.309,595.113,1175.828,968.459,1257.518,1074.911,1227.785,1456.64957,1193.04505,2103.89122,2681.1936,1723.6501
Bermuda,Israel,Import,  All Products,Import (US$ Thousand),139.529,,51.436,,,,,,,,224.38,124.894,128.22,364.03,421.671,244.929,362.849,69.268,87.259,189.021,199.914,681.629,289.50554,276.90528,457.89502,152.56363,335.6672
Bermuda,Italy,Import,  All Products,Import (US$ Thousand),4793.991,,5125.525,,,,,,,,10435.887,13328.363,13004.529,13147.987,11983.297,8480.959,6430.084,8063.762,6833.575,8403.079,9160.887,9813.666,11790.01203,8997.16258,8380.15536,6607.41712,7166.78926
