Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kazakhstan,Cuba,Import,  All Products,Import (US$ Thousand),28.3,24751.8,21423.898,24625.599,18417.899,31783.3,6488.1,22331.3,13643.5,26517.017,7033.052,34421.771,4368.86,43726.904,13140.822,701.167,13936.395,588.5,310.182,15720.791,8622.977,9806.52,23941.22922,12395.55628,344.27894,233.86529,546.89589
Kazakhstan,Curaçao,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,30.403,81.7,,,,,,,,,
Kazakhstan,Cyprus,Import,  All Products,Import (US$ Thousand),4121.88,2501.484,4754.969,2696.08,3004.38,2124.5,2316.1,2823.1,2223.8,1720.169,3276.353,5169.986,5352.811,2362.639,2488.961,3059.348,3898.662,3675.6,4709.348,2440.594,2697.811,522.897,2095.18372,1478.37367,3115.95852,4370.34056,432.57234
Kazakhstan,Czech Republic,Import,  All Products,Import (US$ Thousand),22305.999,26307.493,31398.776,51652.571,27005.865,33887.3,46011.2,53228.7,37493.3,99056.2,95698.444,125562.599,172589.08,185542.883,179222.929,166810.726,163276.639,248925.1,358405.627,357316.924,181133.574,186432.022,190060.5417,211869.7824,307204.1704,284346.0726,165465.4735
Kazakhstan,Denmark,Import,  All Products,Import (US$ Thousand),2788.775,6449.169,10293.467,10047.031,4484.446,8689.8,14702.1,26954.8,29855.7,33565.009,37394.683,45160.594,54020.252,114848.061,56786.32,71906.681,76184.79,85613,77451.23,68431.763,72701.466,60535.678,92581.81505,77524.87326,45459.17706,169700.3202,99260.74432
Kazakhstan,Djibouti,Import,  All Products,Import (US$ Thousand),,,,,4.199,,,,,,,,0.004,,,10.113,0.738,,2.62,,1.92,0.6,,,,,
Kazakhstan,Dominica,Import,  All Products,Import (US$ Thousand),,302.697,427.6,5.599,14.295,72.3,,2.7,,,1.668,0.156,0.008,153.072,7.381,1112.676,0.173,10.3,3.64,10.189,0.192,4.8,1.26768,3.9961,,0.13154,
Kazakhstan,Dominican Republic,Import,  All Products,Import (US$ Thousand),,7.499,2.699,,,3.4,8.4,19.5,4,7.356,70.344,110.104,296.074,131.341,131.967,261.545,295.685,354.2,659.058,548.385,455.164,678.666,535.40659,633.91024,782.52579,753.29577,835.39172
Kazakhstan,East Timor,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,63.783,,,0.139,,,,,,,,,,,0.24537
Kazakhstan,Ecuador,Import,  All Products,Import (US$ Thousand),28.5,920.398,230.095,509.998,1271.397,1025.3,1177.5,1792.6,3998.7,7202.764,9745.858,13389.902,22641.219,30627.414,31941.187,32272.525,27295.682,30121.4,39250.769,36251.578,32848.366,32759.096,25803.4361,30559.12032,31657.24171,28456.00509,51477.90859
Kazakhstan,"Egypt, Arab Rep.",Import,  All Products,Import (US$ Thousand),431.996,665.192,211.897,576.285,1000.09,1709.1,2336.4,3355.6,3408.2,4793.97,4879.405,4531.7,10049.156,14176.912,12879.917,21756.183,38355.077,45306.3,43633.087,46297.23,35255.041,16962.734,50737.56056,67350.87326,84311.65191,78891.93272,73381.66699
Kazakhstan,El Salvador,Import,  All Products,Import (US$ Thousand),,,,2882.8,,3311.9,6997.8,,14433.9,9144.619,2853.314,1215.487,1.28,1.994,1.243,5.927,30.449,132.7,6.824,22.657,13.554,2.298,3.54815,26.0122,27.46027,35.5527,55.75421
Kazakhstan,Equatorial Guinea,Import,  All Products,Import (US$ Thousand),,,,,38.8,6.8,1,,1.6,,,,59.434,420.61,5.001,,,,32.568,,13.718,,,,,,
Kazakhstan,Eritrea,Import,  All Products,Import (US$ Thousand),,,,,,0.3,,,,,,,,,,,7.35,,,122.377,,,,,,,
Kazakhstan,Estonia,Import,  All Products,Import (US$ Thousand),7133.776,8755.259,8273.369,3278.99,1372.083,1587.2,1957.4,5248.3,4509.2,80257.931,23255.975,44628.078,31030.716,54538.422,47953.261,21814.796,25219.531,21096.3,31358.926,56288.601,35936.459,25582.039,20533.68319,22213.51537,11816.78017,11203.73873,14230.60991
Kazakhstan,Eswatini,Import,  All Products,Import (US$ Thousand),,,,,,,96.8,,,,,2.761,0.293,2.387,69.4,30.221,11.61,14.9,8.273,31.092,0.031,8.694,4.09928,11.78772,2.26294,0.4433,0.04227
Kazakhstan,Ethiopia(excludes Eritrea),Import,  All Products,Import (US$ Thousand),12,,,8.598,,,,,,2.857,1.017,5.367,11.385,10.556,6.088,46.483,17.27,25.9,56.639,78.514,73.088,35.137,67.47291,86.03468,54.49011,48.55131,130.90718
