"biogeographic_region","Reporter Name","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","sum_1989_to_2007T","sum_2008_to_2021T","cumulativeT"
"Middle.East","Australia",463685.883030333,445733.193194781,439013.796303988,455049.436631689,515538.276149309,629246.440307652,680563.545016354,722556.750722879,810567.092599831,790829.71039844,889788.145398563,840666.301053243,631949.148510912,814062.16856843,810939.608990907,921616.964931662,991107.663303349,1082006.02464641,1103266.01645857,1570837.46557567,931796.081223718,1340312.1593042,1269522.63509072,1269425.56558278,1188696.41593052,1211906.40236052,1139147.08219811,1234450.32192775,1202938.34818912,1188494.90204028,1152081.70947138,1050150.4379833,1249320.90579946,0.0140381861662173,0.0169990804326775,0.0310372665988948
"Middle.East","Europe",21254606.3227655,20782125.3397129,13798218.0841374,21606978.3337948,28277525.4138525,40326643.4371,45186644.2792051,59247707.3273606,58647857.3172529,51488822.7280791,59483559.3324522,79293082.9950225,70182007.3106592,68760020.9939768,75401181.4591416,95095260.7774107,113343053.943245,141993662.420721,159698336.223942,200498196.712514,124025651.551482,144087492.641376,190552830.042272,160263777.777543,143219308.473315,140799559.33819,101965845.821825,98818690.2130879,126634990.543486,135393739.171376,117282594.083155,98548442.9526558,128737421.500502,1.22386729403983,1.91082854082278,3.13469583486261
"Middle.East","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2670.77399146,1710.872772181,1286.48066602,1896.357407545,1828.5538693,1638.68535293,1558.03799202,2882.6045209182,2015.231934822,5725.5159625004,8974.806508248,3352.277663267,3110.635880892,1170.372799439,2.75243214650114e-05,3.98212073215426e-05,6.7345528786554e-05
"Middle.East","North America",952161.86771063,714612.707984727,10971271.6605699,11486343.2064096,13210389.5702689,14571592.4947878,15764333.302025,17199624.9270105,19812551.5343618,24192698.1551281,32120781.8749714,41215469.5620173,38377184.8003726,36463242.5562713,39934540.5025876,50347875.3073059,55912928.4064807,62463537.8362169,63078635.564192,80871261.7238254,55442118.5504727,64984591.8026049,73964948.6148992,74800629.1153457,64631650.5751689,61725919.5669189,48293410.953086,47025593.3000155,52118611.082556,52807736.4651892,43825572.5363875,32883632.422506,40593811.9599781,0.548789775836673,0.793969488668954,1.34275926450563
"N.Pacific","Australia",21938023.062726,18580234.0076029,16888012.5601297,17970686.3459641,19346373.6171314,20487789.7799906,20548112.4200133,18642380.0191092,19791502.1193074,20095849.2766395,20242438.5860154,21751289.4008341,18594863.3328666,19900958.1201045,23707172.8468245,26826878.984338,27835542.6601206,28802167.3628162,30875439.98478,33538564.4618781,26571878.5681025,33915713.3214501,34963190.9202921,39467820.2447995,35589060.5657683,33457315.9251074,32824755.139042,28698163.8046141,40165199.5402321,32735939.0718197,28186108.8885657,22124871.2904178,28247496.0225796,0.412825714487314,0.450486077764669,0.863311792251983
"N.Pacific","Europe",78906706.5440523,88566561.9354105,92057901.5000255,116514650.276156,135873299.843562,171291751.775829,192482678.428396,184777848.812873,188327661.772694,203106103.269904,213568138.966306,236397353.107287,196335542.18663,192842427.851537,232109355.633557,279385147.473041,289550692.475272,311515125.158461,344919992.125017,366742798.600467,259110636.321647,284281654.439983,306016646.764801,270575724.616315,248879800.379233,243650124.40943,207472275.648752,217785286.651744,246945889.069181,246835719.477382,236676719.0783,208917978.563612,243808042.515484,3.74852893913601,3.58769929653633,7.33622823567234
"N.Pacific","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645780.01025,277990.31648,304511.10544,279882.6579,318799.88297,783442.96993,434323.99437,450460.08148,463777.26777,485400.30687,574506.88721,1003688.9992,491084.83945,711393.19395,0.00963143441121153,0.00722504251327,0.0168564769244815
"N.Pacific","North America",24840929.0199849,23338986.9490856,277091016.275564,277409659.007852,290579156.994735,312799774.300978,324705058.165875,292308837.897547,300396225.500948,300288618.962993,327690105.71274,354685201.92823,297970875.462951,294414330.922403,286136138.278742,315387507.53248,316828308.841045,328176055.471972,318648826.097078,300664156.517889,219413812.784684,268564458.489748,284469459.45159,299078354.387784,287994751.786974,292152347.759118,290156916.505414,286911805.850402,289044828.660294,292465113.781352,292626932.453751,255525157.777492,289505185.765234,5.2636956133232,3.94857328197173,9.21226889529493
"S.Cone.Pacific","Australia",7631406.94680312,7504837.79937434,8973944.93647768,10054449.8814666,10276166.0851781,11027015.1482695,12348763.6111066,13848883.0379499,13992386.1506282,13747579.0851643,14395045.3426749,15275401.696604,14122951.9819593,15240868.709729,18760459.8669719,21882157.4368633,23349510.0366907,24425967.980192,29366478.1863144,33647950.0015087,26832953.54957,35630420.4958025,39654326.3805043,40852269.08937,36286843.6370921,38036436.7047007,28790142.1413959,27059619.201723,28610464.8463614,30190776.435859,26632369.4793935,23423876.8704494,27024216.7719788,0.286224273920418,0.442672665605709,0.728896939526127
"S.Cone.Pacific","Europe",24250293.0901451,27536345.6235523,28739595.6034649,39383161.00732,52006783.1003102,77442521.0150758,91409872.8758899,98933775.9775474,100406155.20842,101806581.375655,103082411.244388,123064607.019653,115190902.024347,117823323.528961,136984184.587391,154066459.024392,156769997.487702,186115484.31962,210349488.159608,226534875.581288,174371112.690799,191781377.428742,225996537.426226,199321533.681207,190710215.937443,191556094.707185,173932827.354365,182461461.847867,200200040.779394,200724650.993724,198899612.425309,183993950.775291,208068346.570256,1.94536194227344,2.7485526381991,4.69391458047254
