Pathogen.Species,Geographic.Origin.Cluster,Invaded.Range.Cluster
Dothistroma septosporum,Eurasian.Palearctic,NE.North.America
Dothistroma septosporum,Eurasian.Palearctic,Australia
Dothistroma septosporum,Eurasian.Palearctic,SE.North.America
Dothistroma septosporum,Eurasian.Palearctic,W.North.America
Drepanopeziza punctiformis,NE.North.America,Eurasian.Palearctic
Drepanopeziza punctiformis,NE.North.America,Australia
Drepanopeziza sphaerioides,Eurasian.Palearctic,Australia
Drepanopeziza sphaerioides,Eurasian.Palearctic,W.North.America
Entoleuca mammata,NE.North.America,Eurasian.Palearctic
Erysiphe adunca,Eurasian.Palearctic,N.North.America
Erysiphe adunca,Eurasian.Palearctic,NE.North.America
Erysiphe adunca,Eurasian.Palearctic,W.North.America
Erysiphe arcuata,N.Pacific,Eurasian.Palearctic
Erysiphe australiana,SE.Asia,Eurasian.Palearctic
Erysiphe australiana,SE.Asia,NE.North.America
Erysiphe australiana,SE.Asia,SE.North.America
Erysiphe australiana,SE.Asia,Australia
Erysiphe azaleae,NE.North.America,Eurasian.Palearctic
Erysiphe capreae,Middle.East,NE.North.America
Erysiphe capreae,Middle.East,W.North.America
Erysiphe carpinicola,N.Pacific,Eurasian.Palearctic
Erysiphe catalpae,SE.Asia,Eurasian.Palearctic
Erysiphe deutziae,N.Pacific,Eurasian.Palearctic
Erysiphe elevata,NE.North.America,Eurasian.Palearctic
Erysiphe euonymi-japonici,N.Pacific,Eurasian.Palearctic
Erysiphe euonymi-japonici,N.Pacific,NE.North.America
Erysiphe euonymi-japonici,N.Pacific,SE.North.America
Erysiphe euonymi-japonici,N.Pacific,W.North.America
Erysiphe euonymi-japonici,N.Pacific,Australia
Erysiphe flexuosa,NE.North.America,Eurasian.Palearctic
Erysiphe hypophylla,N.Pacific,Eurasian.Palearctic
Erysiphe necator,NE.North.America,Eurasian.Palearctic
Erysiphe necator,NE.North.America,Hawaii
Erysiphe necator,NE.North.America,Australia
Erysiphe palczewskii,N.Pacific,Eurasian.Palearctic
Erysiphe palczewskii,N.Pacific,N.North.America
Erysiphe palczewskii,N.Pacific,NE.North.America
Erysiphe palczewskii,N.Pacific,W.North.America
Erysiphe platani,N.North.America,Eurasian.Palearctic
Erysiphe platani,N.North.America,Australia
Erysiphe symphoricarpi,N.North.America,Eurasian.Palearctic
Erysiphe symphoricarpi,NE.North.America,Eurasian.Palearctic
Erysiphe symphoricarpi,SE.North.America,Eurasian.Palearctic
Erysiphe symphoricarpi,W.North.America,Eurasian.Palearctic
Erysiphe syringae,NE.North.America,Eurasian.Palearctic
Erysiphe vanbruntiana,N.Pacific,Eurasian.Palearctic
Eutypella parasitica,NE.North.America,Eurasian.Palearctic
Exutisphaerella laricina,Eurasian.Palearctic,NE.North.America
Flavodon subulatus,SE.Asia,SE.North.America
Fusarium circinatum,C.America,Eurasian.Palearctic
Fusarium circinatum,C.America,NE.North.America
Fusarium circinatum,C.America,SE.North.America
Fusarium circinatum,C.America,W.North.America
Fusarium euwallaceae,SE.Asia,W.North.America
Fusarium kuroshio,N.Pacific,W.North.America
Geosmithia morbida,C.America,N.North.America
Geosmithia morbida,C.America,NE.North.America
Geosmithia morbida,C.America,SE.North.America
Geosmithia morbida,C.America,W.North.America
Glomerella cingulata,Subsaharan.Africa,Eurasian.Palearctic
Glomerella miyabeana,N.Pacific,Eurasian.Palearctic
Gnomonia leptostyla,NE.North.America,Eurasian.Palearctic
Graphium euwallaceae,SE.Asia,W.North.America
Graphium kuroshium,N.Pacific,W.North.America
Gremmeniella abietina,Eurasian.Palearctic,NE.North.America
Guignardia aesculi,NE.North.America,Eurasian.Palearctic
Gymnosporangium sabinae,Eurasian.Palearctic,N.North.America
Gymnosporangium sabinae,Eurasian.Palearctic,NE.North.America
Gymnosporangium sabinae,Eurasian.Palearctic,SE.North.America
Gymnosporangium sabinae,Eurasian.Palearctic,W.North.America
Gymnosporangium tremelloides,Eurasian.Palearctic,N.North.America
Gymnosporangium tremelloides,Eurasian.Palearctic,NE.North.America
Gymnosporangium tremelloides,Eurasian.Palearctic,SE.North.America
Gymnosporangium tremelloides,Eurasian.Palearctic,W.North.America
Harringtonia lauricola,N.Pacific,NE.North.America
Harringtonia lauricola,N.Pacific,SE.North.America
Heterobasidion irregulare,NE.North.America,Eurasian.Palearctic
Hymenoscyphus fraxineus,SE.Asia,Eurasian.Palearctic
Ilyonectria macrodidyma,C.America,Eurasian.Palearctic
Ilyonectria macrodidyma,C.America,W.North.America
Ilyonectria macrodidyma,C.America,Australia
Inonotus rickii,Amazonia,Eurasian.Palearctic
Kabatina juniperi,NE.North.America,Eurasian.Palearctic
Kabatina thujae,NE.North.America,Eurasian.Palearctic
Lachnellula willkommii,Eurasian.Palearctic,NE.North.America
Lasiodiplodia theobromae,C.America,NE.North.America
Lasiodiplodia theobromae,C.America,Australia
Lasiodiplodia theobromae,C.America,SE.North.America
Lasiodiplodia theobromae,C.America,W.North.America
Lecanosticta acicola,C.America,Eurasian.Palearctic
Lecanosticta acicola,C.America,N.North.America
Lecanosticta acicola,C.America,NE.North.America
Lecanosticta acicola,C.America,SE.North.America
Lecanosticta acicola,C.America,W.North.America
Lepteutypa cupressi,Subsaharan.Africa,Eurasian.Palearctic
Lepteutypa cupressi,Subsaharan.Africa,Australia
Leptographium procerum,Eurasian.Palearctic,N.North.America
Leptographium procerum,Eurasian.Palearctic,NE.North.America
Leptographium procerum,Eurasian.Palearctic,SE.North.America
Leptographium procerum,Eurasian.Palearctic,W.North.America
Leptographium wingfieldii,Eurasian.Palearctic,NE.North.America
Litylenchus crenatae mccannii,N.Pacific,NE.North.America
Lophodermium pinastri,Eurasian.Palearctic,N.North.America
Lophodermium pinastri,Eurasian.Palearctic,NE.North.America
Lophodermium pinastri,Eurasian.Palearctic,Australia
Lophodermium pinastri,Eurasian.Palearctic,SE.North.America
Lophodermium pinastri,Eurasian.Palearctic,W.North.America
Lophodermium pini-excelsae,SE.Asia,Australia
Melampsora laricis-populina,Eurasian.Palearctic,W.North.America
Melampsora laricis-populina,Eurasian.Palearctic,Australia
Melampsora laricis-populina,Eurasian.Palearctic,NE.North.America
Melampsora laricis-populina,Eurasian.Palearctic,W.North.America
Melampsora laricis-populina,Eurasian.Palearctic,Australia
Melampsora medusae,NE.North.America,Eurasian.Palearctic
Melampsora medusae,NE.North.America,Australia
Melampsora yoshinagai,N.Pacific,Hawaii
Melampsoridium betulinum,Eurasian.Palearctic,NE.North.America
Melampsoridium betulinum,Eurasian.Palearctic,Australia
Melampsoridium betulinum,Eurasian.Palearctic,W.North.America
Melampsoridium hiratsukanum,N.Pacific,Eurasian.Palearctic
Melampsoridium hiratsukanum,N.Pacific,W.North.America
Melampsoridium sp. IHLR,N.Pacific,SE.North.America
