region_id,code,name,island,OBJIDsic,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_ISO,country
673,STP,Sao Tome and Principe,1,1205,000-06,Sao Tome and Principe,GGI,23,2,Africa,STP,Sao Tome and Principe
674,SUR,Suriname,0,1206,SUR-OO,Surinam,SUR,82,8,Southern America,SUR,Suriname
675,SVK,Slovakia,0,1207,CZE-SK,Slovakia,CZE,11,1,Europe,SVK,Slovakia
676,SVN,Slovenia,0,1208,YUG-SL,Slovenia,YUG,13,1,Europe,SVN,Slovenia
677,SWE,Sweden,0,1209,SWE-OO,Sweden,SWE,10,1,Europe,SWE,Sweden
678,SWZ,Swaziland,0,1210,SWZ-OO,Swaziland,SWZ,27,2,Africa,SWZ,Swaziland
679,SXM,Sint Maarten,1,1211,LEE-NL,Netherlands Leeward Is.,LEE,81,8,Southern America,ANT,Netherlands Antilles
680,SYC.AFB,"African Banks, Seychelles",1,1212,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
681,SYC.ALD,"Aldabra, Seychelles",1,1213,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
682,SYC.ALP,"Alphonse, Seychelles",1,1214,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
683,SYC.ARI,"Aride, Seychelles",1,1215,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
684,SYC.ASS,"Assumption, Seychelles",1,1216,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
685,SYC.AST,"Astove, Seychelles",1,1217,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
686,SYC.BIR,"Bird, Seychelles",1,1218,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
687,SYC.BOI,"Booby Island, Seychelles",1,1219,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
688,SYC.COC,"Cocos, Seychelles",1,1220,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
689,SYC.COE,"Coetivy, Seychelles",1,1221,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
690,SYC.CON,"Conception, Seychelles",1,1222,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
691,SYC.COS,"Cosmoledo, Seychelles",1,1223,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
692,SYC.COU,"Cousin, Seychelles",1,1224,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
693,SYC.CSE,"Cousine, Seychelles",1,1225,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
694,SYC.CUR,"Curieuse, Seychelles",1,1226,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
695,SYC.DAR,"Darros, Seychelles",1,1227,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
696,SYC.DEN,"Denis, Seychelles",1,1228,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
697,SYC.DES,"Desroches, Seychelles",1,1229,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
698,SYC.DNO,"Desnoefs, Seychelles",1,1230,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
699,SYC.FAR,"Farquhar, Seychelles",1,1231,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
700,SYC.FEL,"Felicite, Seychelles",1,1232,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
701,SYC.FRE,"Fregate, Seychelles",1,1233,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
702,SYC.GSO,"Grande Soeur, Seychelles",1,1234,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
703,SYC.IAC,"Ile au Cerf, Seychelles",1,1235,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
704,SYC.IAN,"Ile Anonyme, Seychelles",1,1236,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
705,SYC.ILO,"Ile Longue, Seychelles",1,1237,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
706,SYC.ISA,"Ile St Anne, Seychelles",1,1238,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
707,SYC.IVM,"Ile aux Vaches Marines, Seychelles",1,1239,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
708,SYC.LDI,"La Digue, Seychelles",1,1240,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
709,SYC.MAH,"Mahe, Seychelles",1,1241,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
710,SYC.MAR,"Marianne, Seychelles",1,1242,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
711,SYC.MLO,"Marie-Louise, Seychelles",1,1243,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
712,SYC.NOI,"North Island, Seychelles",1,1244,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
