Family,Status,species,Authorityu,Reference,Year
Rubiaceae,,Paederia scandens,(Lour.) Merr.,Contr. Arnold Arbor. 8: 163,1934
Pandanaceae,,Pandanus odorifer,(Forssk.) Kuntze,Revis. Gen. Pl. 2: 737,1891
Pandanaceae,,Pandanus polycephalus,Lam.,Encycl. 1: 372,
Pandanaceae,*,Pandanus tectorius,Sol. ex Balf. f.,"J. Linn. Soc., Bot. 17: 63, 56",1878
Pandanaceae,!,Pandanus tectorius,Parkinson,J. Voy. South Seas 46,1773
Poaceae,,Panicum antidotale,Retz.,Observ. Bot. 4: 17,1786
Poaceae,,Panicum beecheyi,Hook. & Arn.,Bot. Beechey Voy. 100,1841 [1832]
Poaceae,,Panicum carteri,Hosaka,"Occas. Pap. Bernice Pauahi Bishop Mus. 17: 67, f. 1",1942
Poaceae,,Panicum cynodon,Reichardt,"Sitzungsber. Kaiserl. Akad. Wiss., Math.-Naturwiss. Cl., Abt. 1 76: 724",1878
Poaceae,,Panicum fauriei,Hitchc.,"Mem. Bernice Pauahi Bishop Mus. 8(3): 182, f. 71",1922
Poaceae,,Panicum forbesii,Hitchc.,"Mem. Bernice Pauahi Bishop Mus. 8(3): 199, f. 88",1922
Poaceae,,Panicum havaiense,Reichardt,"Sitzungsber. Kaiserl. Akad. Wiss., Math.-Naturwiss. Cl., Abt. 1 76(1): 723",1878
