host,host_name,host_genus,host_authority,AtlanticCanada,CentralCanada,Florida,InlandWestUS,MidwestUS,NorthCentralUS,NortheastUS,NorthernNorthAmerica,NorthwestUS,SoutheastUS,SouthwestUS,WesternCanada
Ambrosia dumosa (A. Gray) Payne,Ambrosia dumosa,Ambrosia,(A. Gray) Payne,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Amelanchier alnifolia,Amelanchier,(Nutt.) Nutt. ex M. Roem.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. semiintegrifolia (Hook.) C.L. Hitchc.,Amelanchier alnifolia,Amelanchier,(Nutt.) Nutt. ex M. Roem. var. semiintegrifolia (Hook.) C.L. Hitchc.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Amelanchier arborea (Michx. f.) Fernald,Amelanchier arborea,Amelanchier,(Michx. f.) Fernald,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Amelanchier canadensis (L.) Medik.,Amelanchier canadensis,Amelanchier,(L.) Medik.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Amelanchier laevis Wiegand,Amelanchier laevis,Amelanchier,Wiegand,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Amelanchier obovalis (Michx.) Ashe,Amelanchier obovalis,Amelanchier,(Michx.) Ashe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Amelanchier sanguinea (Pursh) DC.,Amelanchier sanguinea,Amelanchier,(Pursh) DC.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Amelanchier utahensis Koehne,Amelanchier utahensis,Amelanchier,Koehne,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Amelanchier utahensis Koehne var. utahensis,Amelanchier utahensis,Amelanchier,Koehne var. utahensis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Amorpha canescens Pursh,Amorpha canescens,Amorpha,Pursh,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Amorpha fruticosa L.,Amorpha fruticosa,Amorpha,L.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Amorpha glabra Desf. ex Poir.,Amorpha glabra,Amorpha,Desf. ex Poir.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ampelopsis arborea (L.) Koehne,Ampelopsis arborea,Ampelopsis,(L.) Koehne,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Amyris elemifera L.,Amyris elemifera,Amyris,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Andira inermis (W. Wright) Kunth ex DC.,Andira inermis,Andira,(W. Wright) Kunth ex DC.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Anisacanthus thurberi (Torr.) A. Gray,Anisacanthus thurberi,Anisacanthus,(Torr.) A. Gray,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Annona glabra L.,Annona glabra,Annona,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Annona squamosa L.,Annona squamosa,Annona,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aralia spinosa L.,Aralia spinosa,Aralia,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Arbutus arizonica (A. Gray) Sarg.,Arbutus arizonica,Arbutus,(A. Gray) Sarg.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Arbutus menziesii Pursh,Arbutus menziesii,Arbutus,Pursh,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Arctostaphylos alpina (L.) Spreng.,Arctostaphylos alpina,Arctostaphylos,(L.) Spreng.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Arctostaphylos columbiana Piper,Arctostaphylos columbiana,Arctostaphylos,Piper,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Arctostaphylos glauca Lindl.,Arctostaphylos glauca,Arctostaphylos,Lindl.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Arctostaphylos manzanita Parry,Arctostaphylos manzanita,Arctostaphylos,Parry,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Arctostaphylos nevadensis A. Gray,Arctostaphylos nevadensis,Arctostaphylos,A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Arctostaphylos patula Greene,Arctostaphylos patula,Arctostaphylos,Greene,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Arctostaphylos pungens Kunth,Arctostaphylos pungens,Arctostaphylos,Kunth,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Arctostaphylos uva-ursi (L.) Spreng.,Arctostaphylos uva-ursi,Arctostaphylos,(L.) Spreng.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Aronia arbutifolia (L.) Pers.,Aronia arbutifolia,Aronia,(L.) Pers.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Aronia melanocarpa (Michx.) Elliott,Aronia melanocarpa,Aronia,(Michx.) Elliott,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Artemisia arbuscula Nutt.,Artemisia arbuscula,Artemisia,Nutt.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Artemisia cana Pursh,Artemisia cana,Artemisia,Pursh,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Artemisia nova A. Nelson,Artemisia nova,Artemisia,A. Nelson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Artemisia rigida (Nutt.) A. Gray,Artemisia rigida,Artemisia,(Nutt.) A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Artemisia tridentata Nutt.,Artemisia tridentata,Artemisia,Nutt.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Artemisia tridentata Nutt. ssp. tridentata,Artemisia tridentata,Artemisia,Nutt. ssp. tridentata,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,Artemisia tridentata,Artemisia,Nutt. ssp. vaseyana (Rydb.) Beetle,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Artemisia tridentata,Artemisia,Nutt. ssp. wyomingensis Beetle & Young,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Artemisia tripartita Rydb.,Artemisia tripartita,Artemisia,Rydb.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Arundinaria gigantea (Walter) Muhl.,Arundinaria gigantea,Arundinaria,(Walter) Muhl.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,Arundinaria gigantea,Arundinaria,(Walter) Muhl. ssp. tecta (Walter) McClure,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Arundinaria tecta (Walter) Muhl.,Arundinaria tecta,Arundinaria,(Walter) Muhl.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Asimina triloba (L.) Dunal,Asimina triloba,Asimina,(L.) Dunal,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Astragalus lentiginosus Douglas ex Hook.,Astragalus lentiginosus,Astragalus,Douglas ex Hook.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Atriplex ×aptera A. Nelson (pro sp.) [canescens × nutallii],Atriplex ×aptera,Atriplex,A. Nelson (pro sp.) [canescens × nutallii],FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Atriplex canescens (Pursh) Nutt.,Atriplex canescens,Atriplex,(Pursh) Nutt.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
