host,host_name,host_genus,host_authority,AtlanticCanada,CentralCanada,Florida,InlandWestUS,MidwestUS,NorthCentralUS,NortheastUS,NorthernNorthAmerica,NorthwestUS,SoutheastUS,SouthwestUS,WesternCanada
Frangula betulifolia (Greene) V. Grub. ssp. betulifolia,Frangula betulifolia,Frangula,(Greene) V. Grub. ssp. betulifolia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Frangula californica (Eschsch.) A. Gray ssp. californica,Frangula californica,Frangula,(Eschsch.) A. Gray ssp. californica,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Frangula caroliniana (Walter) A. Gray,Frangula caroliniana,Frangula,(Walter) A. Gray,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Frangula purshiana (DC.) A. Gray,Frangula purshiana,Frangula,(DC.) A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Franklinia alatamaha W. Bartram ex Marshall,Franklinia alatamaha,Franklinia,W. Bartram ex Marshall,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fraxinus americana L.,Fraxinus americana,Fraxinus,L.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fraxinus anomala Torr. ex S. Watson,Fraxinus anomala,Fraxinus,Torr. ex S. Watson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Fraxinus caroliniana Mill.,Fraxinus caroliniana,Fraxinus,Mill.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fraxinus latifolia Benth.,Fraxinus latifolia,Fraxinus,Benth.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Fraxinus nigra Marshall,Fraxinus nigra,Fraxinus,Marshall,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fraxinus pennsylvanica Marshall,Fraxinus pennsylvanica,Fraxinus,Marshall,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Fraxinus profunda (Bush) Bush,Fraxinus profunda,Fraxinus,(Bush) Bush,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fraxinus velutina Torr.,Fraxinus velutina,Fraxinus,Torr.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Fremontodendron californicum (Torr.) Coville,Fremontodendron californicum,Fremontodendron,(Torr.) Coville,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Garrya wrightii Torr.,Garrya wrightii,Garrya,Torr.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Gaultheria hispidula (L.) Muhl. ex Bigelow,Gaultheria hispidula,Gaultheria,(L.) Muhl. ex Bigelow,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Gaultheria procumbens L.,Gaultheria procumbens,Gaultheria,L.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Gaultheria shallon Pursh,Gaultheria shallon,Gaultheria,Pursh,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Gaylussacia baccata (Wangenh.) K. Koch,Gaylussacia baccata,Gaylussacia,(Wangenh.) K. Koch,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Gaylussacia dumosa (Andrews) Torr. & A. Gray,Gaylussacia dumosa,Gaylussacia,(Andrews) Torr. & A. Gray,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.,Gaylussacia frondosa,Gaylussacia,(L.) Torr. & A. Gray ex Torr.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Gleditsia aquatica Marshall,Gleditsia aquatica,Gleditsia,Marshall,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Gleditsia triacanthos L.,Gleditsia triacanthos,Gleditsia,L.,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Gordonia lasianthus (L.) Ellis,Gordonia lasianthus,Gordonia,(L.) Ellis,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Grayia spinosa (Hook.) Moq.,Grayia spinosa,Grayia,(Hook.) Moq.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Guaiacum officinale L.,Guaiacum officinale,Guaiacum,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Guaiacum sanctum L.,Guaiacum sanctum,Guaiacum,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gutierrezia sarothrae (Pursh) Britton & Rusby,Gutierrezia sarothrae,Gutierrezia,(Pursh) Britton & Rusby,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Gymnocladus dioicus (L.) K. Koch,Gymnocladus dioicus,Gymnocladus,(L.) K. Koch,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Halesia carolina L.,Halesia carolina,Halesia,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Halesia diptera Ellis,Halesia diptera,Halesia,Ellis,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hamamelis virginiana L.,Hamamelis virginiana,Hamamelis,L.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Hesperocyparis arizonica (Greene) Bartel,Hesperocyparis arizonica,Hesperocyparis,(Greene) Bartel,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Hesperoyucca whipplei (Torr.) Baker,Hesperoyucca whipplei,Hesperoyucca,(Torr.) Baker,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Holodiscus discolor (Pursh) Maxim.,Holodiscus discolor,Holodiscus,(Pursh) Maxim.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Holodiscus dumosus (Nutt. ex Hook.) A. Heller,Holodiscus dumosus,Holodiscus,(Nutt. ex Hook.) A. Heller,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Hudsonia tomentosa Nutt.,Hudsonia tomentosa,Hudsonia,Nutt.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Hura crepitans L.,Hura crepitans,Hura,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hydrangea quercifolia W. Bartram,Hydrangea quercifolia,Hydrangea,W. Bartram,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hymenoclea monogyra Torr. & A. Gray,Hymenoclea monogyra,Hymenoclea,Torr. & A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Hypericum cistifolium Lam.,Hypericum cistifolium,Hypericum,Lam.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hypericum crux-andreae (L.) Crantz,Hypericum crux-andreae,Hypericum,(L.) Crantz,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Hypericum densiflorum Pursh,Hypericum densiflorum,Hypericum,Pursh,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Hypericum fasciculatum Lam.,Hypericum fasciculatum,Hypericum,Lam.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hypericum prolificum L.,Hypericum prolificum,Hypericum,L.,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Ilex amelanchier M.A. Curtis ex Chapm.,Ilex amelanchier,Ilex,M.A. Curtis ex Chapm.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ilex cassine L.,Ilex cassine,Ilex,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ilex coriacea (Pursh) Chapm.,Ilex coriacea,Ilex,(Pursh) Chapm.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ilex decidua Walter,Ilex decidua,Ilex,Walter,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Ilex glabra (L.) A. Gray,Ilex glabra,Ilex,(L.) A. Gray,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Ilex opaca Aiton,Ilex opaca,Ilex,Aiton,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Ilex verticillata (L.) A. Gray,Ilex verticillata,Ilex,(L.) A. Gray,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Ilex vomitoria Aiton,Ilex vomitoria,Ilex,Aiton,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Itea virginica L.,Itea virginica,Itea,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Jamesia americana Torr. & A. Gray,Jamesia americana,Jamesia,Torr. & A. Gray,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Juglans cinerea L.,Juglans cinerea,Juglans,L.,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Juglans major (Torr.) A. Heller,Juglans major,Juglans,(Torr.) A. Heller,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Juglans microcarpa Berl.,Juglans microcarpa,Juglans,Berl.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Juglans nigra L.,Juglans nigra,Juglans,L.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Juniperus communis L.,Juniperus communis,Juniperus,L.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Juniperus monosperma (Engelm.) Sarg.,Juniperus monosperma,Juniperus,(Engelm.) Sarg.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Juniperus occidentalis Hook.,Juniperus occidentalis,Juniperus,Hook.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Juniperus osteosperma (Torr.) Little,Juniperus osteosperma,Juniperus,(Torr.) Little,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Juniperus scopulorum Sarg.,Juniperus scopulorum,Juniperus,Sarg.,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Juniperus virginiana L.,Juniperus virginiana,Juniperus,L.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Juniperus virginiana L. var. silicicola (Small) Silba,Juniperus virginiana,Juniperus,L. var. silicicola (Small) Silba,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Kalmia latifolia L.,Kalmia latifolia,Kalmia,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Kalmia microphylla (Hook.) A. Heller,Kalmia microphylla,Kalmia,(Hook.) A. Heller,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Kalmia polifolia Wangenh.,Kalmia polifolia,Kalmia,Wangenh.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Krameria erecta Willd. ex Schult.,Krameria erecta,Krameria,Willd. ex Schult.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,Krascheninnikovia lanata,Krascheninnikovia,(Pursh) A. Meeuse & Smit,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Laguncularia racemosa (L.) C.F. Gaertn.,Laguncularia racemosa,Laguncularia,(L.) C.F. Gaertn.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Larix kaempferi (Lam.) Carrière,Larix kaempferi,Larix,(Lam.) Carrière,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Larix laricina (Du Roi) K. Koch,Larix laricina,Larix,(Du Roi) K. Koch,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Larix lyallii Parl.,Larix lyallii,Larix,Parl.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Larix occidentalis Nutt.,Larix occidentalis,Larix,Nutt.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Larrea tridentata (DC.) Coville var. arenaria L.D. Benson,Larrea tridentata,Larrea,(DC.) Coville var. arenaria L.D. Benson,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Lavatera assurgentiflora Kellogg,Lavatera assurgentiflora,Lavatera,Kellogg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ledum glandulosum Nutt.,Ledum glandulosum,Ledum,Nutt.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Ledum groenlandicum Oeder,Ledum groenlandicum,Ledum,Oeder,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Ledum palustre L.,Ledum palustre,Ledum,L.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Leucaena retusa Benth.,Leucaena retusa,Leucaena,Benth.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Leucothoe axillaris (Lam.) D. Don,Leucothoe axillaris,Leucothoe,(Lam.) D. Don,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Leucothoe fontanesiana (Steud.) Sleumer,Leucothoe fontanesiana,Leucothoe,(Steud.) Sleumer,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Leucothoe racemosa (L.) A. Gray,Leucothoe racemosa,Leucothoe,(L.) A. Gray,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Lindera benzoin (L.) Blume,Lindera benzoin,Lindera,(L.) Blume,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Liquidambar styraciflua L.,Liquidambar styraciflua,Liquidambar,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Liriodendron tulipifera L.,Liriodendron tulipifera,Liriodendron,L.,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Lithocarpus densiflorus (Hook. & Arn.) Rehder,Lithocarpus densiflorus,Lithocarpus,(Hook. & Arn.) Rehder,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Lonicera involucrata (Richardson) Banks ex Spreng.,Lonicera involucrata,Lonicera,(Richardson) Banks ex Spreng.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Lonicera utahensis S. Watson,Lonicera utahensis,Lonicera,S. Watson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Lupinus arboreus Sims,Lupinus arboreus,Lupinus,Sims,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Lycium carolinianum Walter,Lycium carolinianum,Lycium,Walter,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Lycium pallidum Miers,Lycium pallidum,Lycium,Miers,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Lyonia ligustrina (L.) DC.,Lyonia ligustrina,Lyonia,(L.) DC.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Lyonia lucida (Lam.) K. Koch,Lyonia lucida,Lyonia,(Lam.) K. Koch,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Maclura pomifera (Raf.) C.K. Schneid.,Maclura pomifera,Maclura,(Raf.) C.K. Schneid.,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Magnolia acuminata (L.) L.,Magnolia acuminata,Magnolia,(L.) L.,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Magnolia fraseri Walter,Magnolia fraseri,Magnolia,Walter,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Magnolia grandiflora L.,Magnolia grandiflora,Magnolia,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Magnolia tripetala (L.) L.,Magnolia tripetala,Magnolia,(L.) L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Magnolia virginiana L.,Magnolia virginiana,Magnolia,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Mahonia aquifolium (Pursh) Nutt.,Mahonia aquifolium,Mahonia,(Pursh) Nutt.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Mahonia nervosa (Pursh) Nutt.,Mahonia nervosa,Mahonia,(Pursh) Nutt.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Mahonia repens (Lindl.) G. Don,Mahonia repens,Mahonia,(Lindl.) G. Don,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Malus fusca (Raf.) C.K. Schneid.,Malus fusca,Malus,(Raf.) C.K. Schneid.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Malus ioensis (Alph. Wood) Britton,Malus ioensis,Malus,(Alph. Wood) Britton,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Malus Mill.,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Morella californica (Cham.) Wilbur,Morella californica,Morella,(Cham.) Wilbur,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Morella caroliniensis (Mill.) Small,Morella caroliniensis,Morella,(Mill.) Small,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Morella cerifera (L.) Small,Morella cerifera,Morella,(L.) Small,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Morella inodora (W. Bartram) Small,Morella inodora,Morella,(W. Bartram) Small,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Morella pensylvanica (Mirb.) Kartesz,Morella pensylvanica,Morella,(Mirb.) Kartesz,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Morus rubra L.,Morus rubra,Morus,L.,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Myrica gale L.,Myrica gale,Myrica,L.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Nectandra coriacea (Sw.) Griseb.,Nectandra coriacea,Nectandra,(Sw.) Griseb.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nekemias arborea (L.) J. Wen & Boggan,Nekemias arborea,Nekemias,(L.) J. Wen & Boggan,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Nolina microcarpa S. Watson,Nolina microcarpa,Nolina,S. Watson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Notholithocarpus densiflorus (Hook. & Arn.) P.S. Manos, C.H. Cannon, & S.H. Oh",Notholithocarpus densiflorus,Notholithocarpus,"(Hook. & Arn.) P.S. Manos, C.H. Cannon, & S.H. Oh",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Nyssa aquatica L.,Nyssa aquatica,Nyssa,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Nyssa biflora Walter,Nyssa biflora,Nyssa,Walter,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Nyssa ogeche W. Bartram ex Marshall,Nyssa ogeche,Nyssa,W. Bartram ex Marshall,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Nyssa sylvatica Marshall,Nyssa sylvatica,Nyssa,Marshall,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Oemleria cerasiformis (Torr. & A. Gray ex Hook. & Arn.) Landon,Oemleria cerasiformis,Oemleria,(Torr. & A. Gray ex Hook. & Arn.) Landon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Olneya tesota A. Gray,Olneya tesota,Olneya,A. Gray,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Opuntia dillenii (Ker Gawl.) Haw.,Opuntia dillenii,Opuntia,(Ker Gawl.) Haw.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Opuntia polyacantha Haw.,Opuntia polyacantha,Opuntia,Haw.,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Opuntia stricta (Haw.) Haw. var. dillenii (Ker Gawl.) L.D. Benson,Opuntia stricta,Opuntia,(Haw.) Haw. var. dillenii (Ker Gawl.) L.D. Benson,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ostrya virginiana (Mill.) K. Koch,Ostrya virginiana,Ostrya,(Mill.) K. Koch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Oxydendrum arboreum (L.) DC.,Oxydendrum arboreum,Oxydendrum,(L.) DC.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Penstemon venustus Douglas ex Lindl.,Penstemon venustus,Penstemon,Douglas ex Lindl.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Persea borbonia (L.) Spreng.,Persea borbonia,Persea,(L.) Spreng.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Persea palustris (Raf.) Sarg.,Persea palustris,Persea,(Raf.) Sarg.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Petitia domingensis Jacq.,Petitia domingensis,Petitia,Jacq.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
