"","spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"492","Bullockia impressinervia","Bullockia impressinervia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,486,1,"wfo-0000911875","urn:lsid:ipni.org:names:77101426-1","456756","Bullockia impressinervia","species","wfo-4000005738","(Bridson) Razafim., Lantz & B.Bremer","Rubiaceae","","",NA,"Bullockia","","impressinervia","","species","Valid","Ann. Missouri Bot. Gard. 96: 175 (2009)","Accepted","","wfo-0000797927",NA,"Source in seed data: wcs Update namepublishedIn from Ann. Missouri Bot. Gard. 96(1): 175. 2009 [Apr 2009]  to Ann. Missouri Bot. Gard. 96: 175 (2009), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www","http://www.theplantlist.org/tpl1.1/record/kew-456756","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-456756","",FALSE,"","","",""
"493","Coffea costatifructa","Coffea costatifructa",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,487,1,"wfo-0000910848","urn:lsid:ipni.org:names:977413-1","45505","Coffea costatifructa","species","wfo-4000008851","Bridson","Rubiaceae","","",NA,"Coffea","","costatifructa","","species","Valid","Kew Bull. 49: 338 (1994)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 49(2): 338. 1994 [25 May 1994]  to Kew Bull. 49: 338 (1994), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/kew-45505","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-45505","",FALSE,"","","",""
"494","Craterispermum longipedunculatum","Craterispermum longipedunculatum",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,488,1,"wfo-0000926730","urn:lsid:ipni.org:names:747812-1","48738","Craterispermum longepedunculatum","species","wfo-4000009602","Verdc.","Rubiaceae","","",NA,"Craterispermum","","longepedunculatum","","species","Valid","Kew Bull. 14: 350 (1960)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 14(3): 350. 1960 [31 Dec 1960]  to Kew Bull. 14: 350 (1960), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/kew-48738","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-48738","",FALSE,"","","",""
"495","Cuviera migeodii","Cuviera migeodii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,489,1,"wfo-0000933701","urn:lsid:ipni.org:names:960005-1","52502","Cuviera migeodii","species","wfo-4000010136","Verdc.","Rubiaceae","","",NA,"Cuviera","","migeodii","","species","Valid","Fl. Trop. E. Africa , Rubiac.(3): 771 (1991)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Fl. Trop. E. Africa, Rub. (Part 3) 771. 1991  to Fl. Trop. E. Africa , Rubiac.(3): 771 (1991), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.th","http://www.theplantlist.org/tpl1.1/record/kew-52502","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-52502","",FALSE,"","","",""
"496","Cuviera schliebenii","Cuviera schliebenii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,490,1,"wfo-0000933708","urn:lsid:ipni.org:names:748077-1","52509","Cuviera schliebenii","species","wfo-4000010136","Verdc.","Rubiaceae","","",NA,"Cuviera","","schliebenii","","species","Valid","Kew Bull. 33: 497 (1979)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 33(3): 497. 1979 [1 Mar 1979]  to Kew Bull. 33: 497 (1979), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec","http://www.theplantlist.org/tpl1.1/record/kew-52509","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-52509","",FALSE,"","","",""
"497","Empogona acidophylla","Empogona acidophylla",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,491,1,"wfo-0000912387","urn:lsid:ipni.org:names:77101433-1","457314","Empogona acidophylla","species","wfo-4000013337","(Robbr.) Tosh & Robbr.","Rubiaceae","","",NA,"Empogona","","acidophylla","","species","Valid","Ann. Missouri Bot. Gard. 96: 206 (2009)","Accepted","","wfo-0000327148",NA,"Source in seed data: wcs Update namepublishedIn from Ann. Missouri Bot. Gard. 96(1): 206. 2009 [Apr 2009]  to Ann. Missouri Bot. Gard. 96: 206 (2009), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www","http://www.theplantlist.org/tpl1.1/record/kew-457314","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-457314","",FALSE,"","","",""
"498","Heinsia bussei","Heinsia bussei",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,492,1,"wfo-0000981044","urn:lsid:ipni.org:names:753020-1","97888","Heinsia bussei","species","wfo-4000017163","Verdc.","Rubiaceae","","",NA,"Heinsia","","bussei","","species","Valid","Kew Bull. 12: 353 (1957)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 12(2): 353. 1957 [6 Sep 1957]  to Kew Bull. 12: 353 (1957), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec","http://www.theplantlist.org/tpl1.1/record/kew-97888","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-97888","",FALSE,"","","",""
"499","Ixora albersii","Ixora albersii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,493,1,"wfo-0000218137","urn:lsid:ipni.org:names:753691-1","103196","Ixora albersii","species","wfo-4000019411","K.Schum.","Rubiaceae","","",NA,"Ixora","","albersii","","species","Valid","Bot. Jahrb. Syst. 33: 355 (1904)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Bot. Jahrb. Syst. 33(2): 355. 1903 [13 Mar 1903]  to Bot. Jahrb. Syst. 33: 355 (1904), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantli","http://www.theplantlist.org/tpl1.1/record/kew-103196","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-103196","",FALSE,"","","",""
"500","Keetia davidii","Keetia davidii",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,494,1,"wfo-1000001455","urn:lsid:ipni.org:names:77204449-1","","Keetia davidii","species","wfo-4000019892","Bridson & Cheek","Rubiaceae","","",NA,"Keetia","","davidii","","species","Valid","Gard. Bull. Singapore 71(Suppl. 2): 157. 2019","Accepted","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"501","Keetia koritschoneri","Keetia koritschoneri",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,495,1,"wfo-0000220718","urn:lsid:ipni.org:names:930619-1","105682","Keetia koritschoneri","species","wfo-4000019892","Bridson","Rubiaceae","","",NA,"Keetia","","koritschoneri","","species","Valid","Kew Bull. 41: 984 (1986)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 41(4): 984. 1986 [20 Oct 1986]  to Kew Bull. 41: 984 (1986), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/kew-105682","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-105682","",FALSE,"","","",""
