Search type: Characteristics
Shrub|Tree|Native - L48|Native - CAN|Arizona

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
RIMO2,,Ribes montigenum McClatchie,gooseberry currant
RIVI3,,Ribes viscosissimum Pursh,sticky currant
RONE,,Robinia neomexicana A. Gray,New Mexico locust
ROPS,,Robinia pseudoacacia L.,black locust
SAAM2,,Salix amygdaloides Andersson,peachleaf willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SABO,,Salix bonplandiana Kunth,Bonpland willow
SABO2,,Salix boothii Dorn,Booth's willow
SAEX,,Salix exigua Nutt.,narrowleaf willow
SAGE2,,Salix geyeriana Andersson,Geyer willow
SAGO,,Salix gooddingii C.R. Ball,Goodding's willow
SAIR,,Salix irrorata Andersson,dewystem willow
SALA6,,Salix lasiolepis Benth.,arroyo willow
SALI,,Salix ligulifolia (C.R. Ball) C.R. Ball ex C.K. Schneid.,strapleaf willow
SALU,,Salix lucida Muhl.,shining willow
SALUL,,Salix lucida Muhl. ssp. lasiandra (Benth.) A.E. Murray,Pacific willow
SALU2,,Salix lutea Nutt.,yellow willow
SAMO2,,Salix monticola Bebb,park willow
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SASC,,Salix scouleriana Barratt ex Hook.,Scouler's willow
SATA,,Salix taxifolia Kunth,yewleaf willow
SADO4,,Salvia dorrii (Kellogg) Abrams,purple sage
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SANIC5,,Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli,blue elderberry
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SASAD,,Sapindus saponaria L. var. drummondii (Hook. & Arn.) L.D. Benson,western soapberry
SAVE4,,Sarcobatus vermiculatus (Hook.) Torr.,greasewood
SEGR4,,Senegalia greggii (A. Gray) Britton & Rose,catclaw acacia
SEGR4,ACGR,Acacia greggii A. Gray,
SHAR,,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SICH,,Simmondsia chinensis (Link) C.K. Schneid.,jojoba
SOSC2,,Sorbus scopulina Greene,Greene's mountain ash
SYOR2,,Symphoricarpos oreophilus A. Gray,mountain snowberry
TEST,,Tecoma stans (L.) Juss. ex Kunth,yellow trumpetbush
TECA2,,Tetradymia canescens DC.,spineless horsebrush
VAME,,Vaccinium membranaceum Douglas ex Torr.,thinleaf huckleberry
VACO9,,Vachellia constricta (Benth.) Seigler & Ebinger,whitethorn acacia
VACO9,ACCO2,Acacia constricta Benth.,
YUBA,,Yucca baccata Torr.,banana yucca
YUBRB,,Yucca brevifolia Engelm. var. brevifolia,Joshua tree
YUEL,,Yucca elata (Engelm.) Engelm.,soaptree yucca
