Search type: Characteristics
Shrub|Tree|Native - L48|California

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
PIMO,,Pinus monophylla Torr. & Frém.,singleleaf pinyon
PIMO3,,Pinus monticola Douglas ex D. Don,western white pine
PIMU,,Pinus muricata D. Don,Bishop pine
PIPO,,Pinus ponderosa Lawson & C. Lawson,ponderosa pine
PIRA2,,Pinus radiata D. Don,Monterey pine
PISA2,,Pinus sabiniana Douglas ex Douglas,California foothill pine
PLRA,,Platanus racemosa Nutt.,California sycamore
POCA19,,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar
POAN3,,Populus angustifolia James,narrowleaf cottonwood
POBA2,,Populus balsamifera L.,balsam poplar
POBAT,,Populus balsamifera L. ssp. trichocarpa (Torr. & A. Gray ex Hook.) Brayshaw,black cottonwood
POFR2,,Populus fremontii S. Watson,Fremont cottonwood
POTR5,,Populus tremuloides Michx.,quaking aspen
PRPU,,Prosopis pubescens Benth.,screwbean mesquite
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PREM,,Prunus emarginata (Douglas ex Hook.) D. Dietr.,bitter cherry
PRFA,,Prunus fasciculata (Torr.) A. Gray,desert almond
PRILL,,Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr. ssp. lyonii (Eastw.) P.H. Raven,hollyleaf cherry
PRSU2,,Prunus subcordata Benth.,Klamath plum
PRVI,,Prunus virginiana L.,chokecherry
PRVID,,Prunus virginiana L. var. demissa (Nutt.) Torr.,western chokecherry
PSMA,,Pseudotsuga macrocarpa (Vasey) Mayr,bigcone Douglas-fir
PSME,,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir
PUGL2,,Purshia glandulosa Curran,desert bitterbrush
PUST,,Purshia stansburiana (Torr.) Henrickson,Stansbury cliffrose
PUTR2,,Purshia tridentata (Pursh) DC.,antelope bitterbrush
QUAG,,Quercus agrifolia Née,California live oak
QUCH2,,Quercus chrysolepis Liebm.,canyon live oak
QUDO,,Quercus douglasii Hook. & Arn.,blue oak
QUDU,,Quercus dumosa Nutt.,coastal sage scrub oak
QUGA4,,Quercus garryana Douglas ex Hook.,Oregon white oak
QUKE,,Quercus kelloggii Newberry,California black oak
QULO,,Quercus lobata Née,valley oak
QUVA,,Quercus vacciniifolia Kellogg,huckleberry oak
RHAL,,Rhamnus alnifolia L'Hér.,alderleaf buckthorn
RHCR,,Rhamnus crocea Nutt.,redberry buckthorn
RHMA3,,Rhododendron macrophyllum D. Don ex G. Don,Pacific rhododendron
RHOC,,Rhododendron occidentale (Torr. & A. Gray) A. Gray,western azalea
RHGL,,Rhus glabra L.,smooth sumac
RHOV,,Rhus ovata S. Watson,sugar sumac
RHTR,,Rhus trilobata Nutt.,skunkbush sumac
RIAU,,Ribes aureum Pursh,golden currant
RICE,,Ribes cereum Douglas,wax currant
RIHU,,Ribes hudsonianum Richardson,northern black currant
RIIN2,,Ribes inerme Rydb.,whitestem gooseberry
RILA,,Ribes lacustre (Pers.) Poir.,prickly currant
RIMO2,,Ribes montigenum McClatchie,gooseberry currant
RINE,,Ribes nevadense Kellogg,Sierra currant
RIRO,,Ribes roezlii Regel,Sierra gooseberry
RISA,,Ribes sanguineum Pursh,redflower currant
RIVI,,Ribes viburnifolium A. Gray,island gooseberry
RIVI3,,Ribes viscosissimum Pursh,sticky currant
RONE,,Robinia neomexicana A. Gray,New Mexico locust
ROPS,,Robinia pseudoacacia L.,black locust
SABE2,,Salix bebbiana Sarg.,Bebb willow
SABO2,,Salix boothii Dorn,Booth's willow
SABR,,Salix brachycarpa Nutt.,shortfruit willow
SADR,,Salix drummondiana Barratt ex Hook.,Drummond's willow
SAEX,,Salix exigua Nutt.,narrowleaf willow
SAGE2,,Salix geyeriana Andersson,Geyer willow
SAGO,,Salix gooddingii C.R. Ball,Goodding's willow
SAHO,,Salix hookeriana Barratt ex Hook.,dune willow
SALA6,,Salix lasiolepis Benth.,arroyo willow
SALE,,Salix lemmonii Bebb,Lemmon's willow
SALI,,Salix ligulifolia (C.R. Ball) C.R. Ball ex C.K. Schneid.,strapleaf willow
SALU,,Salix lucida Muhl.,shining willow
SALUL,,Salix lucida Muhl. ssp. lasiandra (Benth.) A.E. Murray,Pacific willow
SALU2,,Salix lutea Nutt.,yellow willow
SAOR,,Salix orestera C.K. Schneid.,Sierra willow
SAPL2,,Salix planifolia Pursh,diamondleaf willow
SAPR3,,Salix prolixa Andersson,MacKenzie's willow
SASC,,Salix scouleriana Barratt ex Hook.,Scouler's willow
SASE3,,Salix sessilifolia Nutt.,northwest sandbar willow
SASI2,,Salix sitchensis Sanson ex Bong.,Sitka willow
SADO4,,Salvia dorrii (Kellogg) Abrams,purple sage
SANIC4,,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry
SANIC5,,Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli,blue elderberry
SARAR3,,Sambucus racemosa L. var. racemosa,red elderberry
SAVE4,,Sarcobatus vermiculatus (Hook.) Torr.,greasewood
SEGR4,,Senegalia greggii (A. Gray) Britton & Rose,catclaw acacia
SEGR4,ACGR,Acacia greggii A. Gray,
SESE3,,Sequoia sempervirens (Lamb. ex D. Don) Endl.,redwood
SEGI2,,Sequoiadendron giganteum (Lindl.) J. Buchholz,giant sequoia
SHAR,,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry
SHCA,,Shepherdia canadensis (L.) Nutt.,russet buffaloberry
SICH,,Simmondsia chinensis (Link) C.K. Schneid.,jojoba
SOSC2,,Sorbus scopulina Greene,Greene's mountain ash
SOSIG,,Sorbus sitchensis M. Roem. var. grayi (Wenzig) C.L. Hitchc.,western mountain ash
SPDO,,Spiraea douglasii Hook.,rose spirea
SYAL,,Symphoricarpos albus (L.) S.F. Blake,common snowberry
SYOR2,,Symphoricarpos oreophilus A. Gray,mountain snowberry
TABR2,,Taxus brevifolia Nutt.,Pacific yew
TECA2,,Tetradymia canescens DC.,spineless horsebrush
TEGL,,Tetradymia glabrata Torr. & A. Gray,littleleaf horsebrush
TESP2,,Tetradymia spinosa Hook. & Arn.,shortspine horsebrush
THPL,,Thuja plicata Donn ex D. Don,western redcedar
TSHE,,Tsuga heterophylla (Raf.) Sarg.,western hemlock
TSME,,Tsuga mertensiana (Bong.) Carrière,mountain hemlock
UMCA,,Umbellularia californica (Hook. & Arn.) Nutt.,California laurel
VACE,,Vaccinium cespitosum Michx.,dwarf bilberry
VACE,VACA13,"Vaccinium caespitosum Michx., orth. var.",
VAME,,Vaccinium membranaceum Douglas ex Torr.,thinleaf huckleberry
VAOV2,,Vaccinium ovatum Pursh,California huckleberry
VAPA,,Vaccinium parvifolium Sm.,red huckleberry
VASC,,Vaccinium scoparium Leiberg ex Coville,grouse whortleberry
VAUL,,Vaccinium uliginosum L.,bog blueberry
VIED,,Viburnum edule (Michx.) Raf.,squashberry
YUBA,,Yucca baccata Torr.,banana yucca
YUBRB,,Yucca brevifolia Engelm. var. brevifolia,Joshua tree
